Company,Job,Job ID,Job_URL,Cluster
,"Lowongan Kerja sebagai Operator Dump Truck 31-50 Τοn, Operator Grader 705",82214254,https://id.jobstreet.com/id/job/82214254,1
ORIX,Branch Manager Development Program Area Sulawesi dan Papua,81881559,https://id.jobstreet.com/id/job/81881559,1
Ismaya Group,M&E STAFF (MAKASSAR),82139870,https://id.jobstreet.com/id/job/82139870,1
Summarecon Agung,Position,82098580,https://id.jobstreet.com/id/job/82098580,1
,Guest Experience Expert,79487339,https://id.jobstreet.com/id/job/79487339,1
Haleon,Territory Sales Manager,81920428,https://id.jobstreet.com/id/job/81920428,1
Yamaha Motor,19. AREA SERVICE DEVELOPMENT (PENEMPATAN : MAKASSAR),81011442,https://id.jobstreet.com/id/job/81011442,1
Borwita Citra Prima,SALES COORDINATOR,81372090,https://id.jobstreet.com/id/job/81372090,1
Four Points,Public Area Supervisor,79487224,https://id.jobstreet.com/id/job/79487224,1
Little Joy Indonesia,Sales Admin,79057060,https://id.jobstreet.com/id/job/79057060,1
,GREETER - RESTO CONCEPT (MAKASSAR),79734666,https://id.jobstreet.com/id/job/79734666,1
Borwita Citra Prima,BRANCH OPERATION SUPERVISOR,81631546,https://id.jobstreet.com/id/job/81631546,1
Borwita Citra Prima,AR CONTROLLER,81821015,https://id.jobstreet.com/id/job/81821015,1
Ruangguru,Branch Manager - Sinjai (Sulawesi Selatan),81339968,https://id.jobstreet.com/id/job/81339968,1
Byorange,Kurir (Sulawesi Barat),79662449,https://id.jobstreet.com/id/job/79662449,1
Trimegah Securities Indonesia,Relationship Manager Makassar,81881447,https://id.jobstreet.com/id/job/81881447,1
Mindrift,Data Annotator - Freelance,76687988,https://id.jobstreet.com/id/job/76687988,1
IWG,Partnerships Sales Manager - Makassar,75840769,https://id.jobstreet.com/id/job/75840769,1
,Geologist - Exploration,82204763,https://id.jobstreet.com/id/job/82204763,1
,Area Manager - FS - Sulawesi & Kalimantan,81351947,https://id.jobstreet.com/id/job/81351947,1
Takeda,IDN – Medical Representative,81370058,https://id.jobstreet.com/id/job/81370058,1
Ruangguru,Branch Manager - Maros (Sulawesi Selatan),81230954,https://id.jobstreet.com/id/job/81230954,1
AstraZeneca,Medical Representative (Respiratory – Makassar),81544146,https://id.jobstreet.com/id/job/81544146,1
Ruangguru,Branch Manager - Bulukumba (Sulawesi),81339992,https://id.jobstreet.com/id/job/81339992,1
Hyatt Place,"Lead Host - Kitchen, Hyatt Place Makassar",80163434,https://id.jobstreet.com/id/job/80163434,1
Hyatt Place,"Sales Manager, Hyatt Place Makassar",80163373,https://id.jobstreet.com/id/job/80163373,1
ORIX,Management Development Program Manado,81882130,https://id.jobstreet.com/id/job/81882130,1
Asuransi Bintang,Lowongan Kerja sebagai Account Officer di Asuransi Bintang Penempatan Makassar,81477794,https://id.jobstreet.com/id/job/81477794,1
Borwita Citra Prima,SR MT,81631557,https://id.jobstreet.com/id/job/81631557,1
,Insurance Admin Area Makassar,82355378,https://id.jobstreet.com/id/job/82355378,1
,Helper Gudang,82324519,https://id.jobstreet.com/id/job/82324519,1
